                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.37726,                0.41361,                0.21928,                0.91875,                0.99159,                0.99673,                0.99492,                0.93747,                0.99159,                0.99673,                0.99492,                0.95755,                0.40147,                0.38075,                0.20573,                0.89104,              0.0004556,              0.0004556,              0.0004556
                     80,                0.38008,                0.40001,                0.21845,                0.91586,                0.99305,                0.98943,                0.99487,                0.93987,                0.99305,                0.98943,                0.99487,                0.95769,                0.40986,                0.38254,                0.20411,                0.89673,              0.0004358,              0.0004358,              0.0004358
                     81,                0.37875,                0.40917,                 0.2209,                0.91987,                0.99639,                0.99366,                0.99494,                0.94103,                0.99639,                0.99366,                0.99494,                 0.9592,                  0.407,                0.38281,                0.19887,                0.88556,               0.000416,               0.000416,               0.000416
                     82,                0.37495,                0.40066,                0.21501,                0.90231,                0.98736,                0.99789,                0.99489,                0.94029,                0.98736,                0.99789,                0.99489,                0.95707,                0.41403,                0.37574,                0.20101,                0.89659,              0.0003962,              0.0003962,              0.0003962
                     83,                0.36769,                0.39546,                0.21208,                0.90382,                0.99788,                0.99475,                0.99496,                0.94389,                0.99788,                0.99475,                0.99496,                0.95979,                0.40288,                0.37289,                0.19791,                0.88208,              0.0003764,              0.0003764,              0.0003764
                     84,                0.36839,                0.39138,                0.20705,                0.90366,                0.99539,                0.99789,                0.99466,                0.94263,                0.99539,                0.99789,                0.99466,                0.95925,                0.40168,                0.37304,                0.19416,                0.88048,              0.0003566,              0.0003566,              0.0003566
                     85,                0.36961,                0.39185,                0.20706,                0.90991,                0.99267,                0.99577,                0.99481,                0.94027,                0.99267,                0.99577,                0.99481,                0.95832,                0.40411,                0.37313,                0.19691,                0.88349,              0.0003368,              0.0003368,              0.0003368
                     86,                0.36599,                0.39561,                0.20843,                0.90596,                0.99323,                0.99577,                0.99491,                0.94558,                0.99323,                0.99577,                0.99491,                0.96045,                0.39982,                0.37466,                0.19942,                0.88369,               0.000317,               0.000317,               0.000317
                     87,                0.38346,                0.39315,                 0.2119,                 0.9036,                0.99546,                0.99577,                0.99479,                 0.9417,                0.99546,                0.99577,                0.99479,                0.95798,                0.40555,                0.37788,                0.19743,                0.88871,              0.0002972,              0.0002972,              0.0002972
                     88,                0.36052,                0.39211,                0.20673,                 0.9061,                0.99107,                0.99366,                0.99487,                0.94481,                0.99107,                0.99366,                0.99487,                0.95999,                0.40188,                0.37082,                0.19716,                0.88303,              0.0002774,              0.0002774,              0.0002774
                     89,                0.36781,                0.40242,                0.20791,                0.89901,                 0.9912,                0.99366,                0.99472,                  0.941,                 0.9912,                0.99366,                0.99472,                0.95836,                0.40494,                 0.3692,                 0.1976,                0.88541,              0.0002576,              0.0002576,              0.0002576
                     90,                0.34948,                0.37013,                0.19938,                0.90249,                 0.9886,                0.99366,                0.99455,                0.94406,                 0.9886,                0.99366,                0.99455,                0.95961,                0.40363,                 0.3737,                0.19674,                0.88283,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.5099,                0.32039,                0.21382,                0.78255,                 0.9953,                0.99577,                0.99475,                0.94557,                 0.9953,                0.99577,                0.99475,                0.96048,                0.39888,                0.36384,                0.19858,                0.88776,               0.000218,               0.000218,               0.000218
                     92,                0.47166,                0.31273,                0.20511,                0.78117,                0.98742,                0.99546,                0.99475,                0.94513,                0.98742,                0.99546,                0.99475,                0.96152,                0.40587,                0.36942,                0.19674,                0.89096,              0.0001982,              0.0001982,              0.0001982
                     93,                0.50449,                0.31011,                 0.2092,                0.77227,                 0.9972,                0.99577,                 0.9947,                0.94586,                 0.9972,                0.99577,                 0.9947,                0.96269,                0.39817,                0.37211,                0.19958,                0.88636,              0.0001784,              0.0001784,              0.0001784
                     94,                0.47485,                0.30952,                0.19896,                0.77736,                0.99744,                0.99577,                0.99475,                0.94877,                0.99744,                0.99577,                0.99475,                0.96394,                0.39661,                0.37435,                0.19735,                0.88193,              0.0001586,              0.0001586,              0.0001586
                     95,                0.49194,                0.30499,                0.20192,                0.76219,                0.99546,                0.99577,                0.99474,                0.94778,                0.99546,                0.99577,                0.99474,                 0.9628,                0.39667,                0.37009,                0.19246,                0.88559,              0.0001388,              0.0001388,              0.0001388
                     96,                0.47915,                0.30416,                0.19725,                0.76499,                0.99543,                0.99577,                0.99472,                0.94644,                0.99543,                0.99577,                0.99472,                 0.9633,                0.39271,                0.36698,                0.18716,                0.88519,               0.000119,               0.000119,               0.000119
                     97,                0.46743,                0.30162,                0.19248,                0.76958,                0.99771,                0.99577,                0.99475,                0.94709,                0.99771,                0.99577,                0.99475,                0.96484,                0.39119,                0.36301,                0.18827,                0.87824,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.47573,                0.30271,                0.19181,                0.75186,                0.99159,                0.99727,                0.99492,                0.94575,                0.99159,                0.99727,                0.99492,                0.96371,                0.39354,                0.36172,                0.18848,                0.88513,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.48907,                0.29878,                0.19235,                0.75908,                0.99481,                0.99789,                0.99492,                0.94812,                0.99481,                0.99789,                0.99492,                0.96402,                0.39321,                0.36112,                0.18684,                0.88519,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.49893,                0.30258,                0.19273,                0.75478,                0.99757,                0.99789,                0.99494,                0.94717,                0.99757,                0.99789,                0.99494,                0.96436,                0.39008,                0.36158,                0.18328,                 0.8821,               3.98e-05,               3.98e-05,               3.98e-05
